c i 1-D powers of two
Problem: ic2, setup: 244.00 us, time: 96.64 ns, ``mflops'': 103.48
Problem: ic4, setup: 275.00 us, time: 122.26 ns, ``mflops'': 327.17
Problem: ic8, setup: 244.00 us, time: 229.14 ns, ``mflops'': 523.69
Problem: ic16, setup: 244.00 us, time: 525.36 ns, ``mflops'': 609.11
Problem: ic32, setup: 3.63 ms, time: 1.27 us, ``mflops'': 627.8
Problem: ic64, setup: 6.04 ms, time: 3.29 us, ``mflops'': 584.23
Problem: ic128, setup: 11.57 ms, time: 9.30 us, ``mflops'': 481.71
Problem: ic256, setup: 16.82 ms, time: 20.39 us, ``mflops'': 502.24
Problem: ic512, setup: 26.10 ms, time: 45.55 us, ``mflops'': 505.85
Problem: ic1024, setup: 34.67 ms, time: 108.50 us, ``mflops'': 471.89
Problem: ic2048, setup: 46.43 ms, time: 270.89 us, ``mflops'': 415.81
Problem: ic4096, setup: 62.12 ms, time: 615.25 us, ``mflops'': 399.45
Problem: ic8192, setup: 79.36 ms, time: 1.49 ms, ``mflops'': 357.85
Problem: ic16384, setup: 101.61 ms, time: 3.40 ms, ``mflops'': 337
Problem: ic32768, setup: 130.15 ms, time: 8.73 ms, ``mflops'': 281.53
Problem: ic65536, setup: 138.12 ms, time: 24.48 ms, ``mflops'': 214.17
Problem: ic131072, setup: 209.52 ms, time: 62.51 ms, ``mflops'': 178.22
Problem: ic262144, setup: 162.05 ms, time: 156.98 ms, ``mflops'': 150.29
Problem: ic524288, setup: 68.31 ms, time: 367.02 ms, ``mflops'': 135.71
Problem: ic1048576, setup: 76.92 ms, time: 694.27 ms, ``mflops'': 151.03
Problem: ic2097152, setup: 83.15 ms, time: 1.60 s, ``mflops'': 137.37
c o 1-D powers of two
Problem: oc2, setup: 91.00 us, time: 96.64 ns, ``mflops'': 103.48
Problem: oc4, setup: 61.00 us, time: 122.50 ns, ``mflops'': 326.54
Problem: oc8, setup: 61.00 us, time: 229.16 ns, ``mflops'': 523.66
Problem: oc16, setup: 61.00 us, time: 524.44 ns, ``mflops'': 610.17
Problem: oc32, setup: 794.00 us, time: 1.27 us, ``mflops'': 627.8
Problem: oc64, setup: 2.66 ms, time: 3.29 us, ``mflops'': 582.93
Problem: oc128, setup: 5.01 ms, time: 7.39 us, ``mflops'': 606.01
Problem: oc256, setup: 8.33 ms, time: 17.17 us, ``mflops'': 596.43
Problem: oc512, setup: 12.36 ms, time: 43.52 us, ``mflops'': 529.42
Problem: oc1024, setup: 17.64 ms, time: 108.02 us, ``mflops'': 473.97
Problem: oc2048, setup: 23.63 ms, time: 248.48 us, ``mflops'': 453.31
Problem: oc4096, setup: 31.35 ms, time: 584.72 us, ``mflops'': 420.3
Problem: oc8192, setup: 41.39 ms, time: 1.21 ms, ``mflops'': 441.64
Problem: oc16384, setup: 54.09 ms, time: 3.11 ms, ``mflops'': 368.39
Problem: oc32768, setup: 71.30 ms, time: 10.87 ms, ``mflops'': 226.17
Problem: oc65536, setup: 104.85 ms, time: 29.39 ms, ``mflops'': 178.36
Problem: oc131072, setup: 123.74 ms, time: 67.15 ms, ``mflops'': 165.91
Problem: oc262144, setup: 163.64 ms, time: 145.42 ms, ``mflops'': 162.24
Problem: oc524288, setup: 83.82 ms, time: 310.49 ms, ``mflops'': 160.42
Problem: oc1048576, setup: 116.85 ms, time: 659.23 ms, ``mflops'': 159.06
Problem: oc2097152, setup: 108.24 ms, time: 1.41 s, ``mflops'': 156.67
c i 1-D non-powers of two
Problem: ic6, setup: 274.00 us, time: 188.63 ns, ``mflops'': 411.12
Problem: ic9, setup: 244.00 us, time: 381.93 ns, ``mflops'': 373.49
Problem: ic12, setup: 244.00 us, time: 381.93 ns, ``mflops'': 563.19
Problem: ic15, setup: 244.00 us, time: 648.32 ns, ``mflops'': 451.97
Problem: ic18, setup: 4.27 ms, time: 1.21 us, ``mflops'': 310.39
