c i 1-D powers of two
Problem: ic2, setup: 641.00 us, time: 71.38 ns, ``mflops'': 140.09
Problem: ic4, setup: 611.00 us, time: 104.80 ns, ``mflops'': 381.69
Problem: ic8, setup: 611.00 us, time: 164.43 ns, ``mflops'': 729.8
Problem: ic16, setup: 671.00 us, time: 312.99 ns, ``mflops'': 1022.4
Problem: ic32, setup: 12.21 ms, time: 817.93 ns, ``mflops'': 978.08
Problem: ic64, setup: 22.31 ms, time: 1.95 us, ``mflops'': 987.11
Problem: ic128, setup: 47.47 ms, time: 4.32 us, ``mflops'': 1036.5
Problem: ic256, setup: 82.66 ms, time: 11.71 us, ``mflops'': 874.1
Problem: ic512, setup: 149.08 ms, time: 25.88 us, ``mflops'': 890.43
Problem: ic1024, setup: 316.97 ms, time: 62.48 us, ``mflops'': 819.46
Problem: ic2048, setup: 647.53 ms, time: 139.98 us, ``mflops'': 804.66
Problem: ic4096, setup: 1.43 s, time: 331.00 us, ``mflops'': 742.48
Problem: ic8192, setup: 2.99 s, time: 747.88 us, ``mflops'': 711.99
Problem: ic16384, setup: 6.31 s, time: 1.66 ms, ``mflops'': 689.39
Problem: ic32768, setup: 12.33 s, time: 3.66 ms, ``mflops'': 670.93
Problem: ic65536, setup: 34.66 s, time: 9.62 ms, ``mflops'': 545.25
Problem: ic131072, setup: 26.77 s, time: 29.46 ms, ``mflops'': 378.22
Problem: ic262144, setup: 87.56 s, time: 73.90 ms, ``mflops'': 319.25
Problem: ic524288, setup: 74.29 s, time: 179.40 ms, ``mflops'': 277.64
Problem: ic1048576, setup: 23.57 s, time: 419.54 ms, ``mflops'': 249.94
Problem: ic2097152, setup: 233.73 s, time: 899.27 ms, ``mflops'': 244.87
c o 1-D powers of two
Problem: oc2, setup: 183.00 us, time: 71.38 ns, ``mflops'': 140.1
Problem: oc4, setup: 184.00 us, time: 104.80 ns, ``mflops'': 381.69
Problem: oc8, setup: 183.00 us, time: 164.41 ns, ``mflops'': 729.87
Problem: oc16, setup: 214.00 us, time: 312.99 ns, ``mflops'': 1022.4
Problem: oc32, setup: 2.81 ms, time: 817.93 ns, ``mflops'': 978.08
Problem: oc64, setup: 10.10 ms, time: 1.94 us, ``mflops'': 989.04
Problem: oc128, setup: 21.40 ms, time: 4.32 us, ``mflops'': 1036.5
Problem: oc256, setup: 41.39 ms, time: 10.05 us, ``mflops'': 1019.3
Problem: oc512, setup: 76.80 ms, time: 23.67 us, ``mflops'': 973.47
Problem: oc1024, setup: 164.87 ms, time: 59.62 us, ``mflops'': 858.76
Problem: oc2048, setup: 372.65 ms, time: 134.02 us, ``mflops'': 840.45
Problem: oc4096, setup: 793.80 ms, time: 316.69 us, ``mflops'': 776.03
Problem: oc8192, setup: 1.72 s, time: 709.69 us, ``mflops'': 750.3
Problem: oc16384, setup: 3.52 s, time: 1.59 ms, ``mflops'': 720.8
Problem: oc32768, setup: 6.97 s, time: 3.52 ms, ``mflops'': 698.58
Problem: oc65536, setup: 19.01 s, time: 10.29 ms, ``mflops'': 509.66
Problem: oc131072, setup: 58.01 s, time: 32.05 ms, ``mflops'': 347.61
Problem: oc262144, setup: 150.76 s, time: 68.35 ms, ``mflops'': 345.19
Problem: oc524288, setup: 41.76 s, time: 187.46 ms, ``mflops'': 265.7
Problem: oc1048576, setup: 108.90 s, time: 386.91 ms, ``mflops'': 271.01
Problem: oc2097152, setup: 126.19 s, time: 811.91 ms, ``mflops'': 271.21
c i 1-D non-powers of two
Problem: ic6, setup: 611.00 us, time: 139.50 ns, ``mflops'': 555.92
Problem: ic9, setup: 549.00 us, time: 339.08 ns, ``mflops'': 420.69
Problem: ic12, setup: 641.00 us, time: 240.34 ns, ``mflops'': 894.97
Problem: ic15, setup: 579.00 us, time: 399.63 ns, ``mflops'': 733.22
Problem: ic18, setup: 13.31 ms, time: 1.12 us, ``mflops'': 335.18
Problem: ic24, setup: 16.73 ms, time: 1.28 us, ``mflops'': 430.49
Problem: ic36, setup: 25.43 ms, time: 1.91 us, ``mflops'': 486.84
Problem: ic80, setup: 53.97 ms, time: 4.29 us, ``mflops'': 590.12
Problem: ic108, setup: 57.78 ms, time: 6.50 us, ``mflops'': 561.3
Problem: ic210, setup: 58.85 ms, time: 13.95 us, ``mflops'': 580.59
Problem: ic504, setup: 220.91 ms, time: 37.98 us, ``mflops'': 595.67
Problem: ic1000, setup: 376.50 ms, time: 70.95 us, ``mflops'': 702.36
Problem: ic1960, setup: 609.07 ms, time: 191.25 us, ``mflops'': 560.41
Problem: ic4725, setup: 1.19 s, time: 561.88 us, ``mflops'': 513.23
Problem: ic10368, setup: 8.02 s, time: 1.13 ms, ``mflops'': 610.23
Problem: ic27000, setup: 23.95 s, time: 3.61 ms, ``mflops'': 550.57
Problem: ic75600, setup: 33.32 s, time: 16.64 ms, ``mflops'': 368.23
Problem: ic165375, setup: 14.41 s, time: 54.52 ms, ``mflops'': 262.93
Problem: ic362880, setup: 173.78 s, time: 119.84 ms, ``mflops'': 279.62
Problem: ic1562500, setup: 62.00 s, time: 841.40 ms, ``mflops'': 191.05
c o 1-D non-powers of two
Problem: oc6, setup: 214.00 us, time: 139.27 ns, ``mflops'': 556.84
Problem: oc9, setup: 153.00 us, time: 339.08 ns, ``mflops'': 420.69
Problem: oc12, setup: 183.00 us, time: 240.34 ns, ``mflops'': 894.97
Problem: oc15, setup: 183.00 us, time: 399.63 ns, ``mflops'': 733.22
Problem: oc18, setup: 4.33 ms, time: 750.79 ns, ``mflops'': 499.86
Problem: oc24, setup: 6.90 ms, time: 856.99 ns, ``mflops'': 642.01
Problem: oc36, setup: 13.37 ms, time: 1.41 us, ``mflops'': 660.72
