c i 1-D powers of two
Problem: ic2, setup: 1.59 ms, time: 99.65 ns, ``mflops'': 100.35
Problem: ic4, setup: 1.62 ms, time: 122.94 ns, ``mflops'': 325.36
Problem: ic8, setup: 2.35 ms, time: 204.90 ns, ``mflops'': 585.67
Problem: ic16, setup: 1.77 ms, time: 428.41 ns, ``mflops'': 746.96
Problem: ic32, setup: 28.66 ms, time: 1.07 us, ``mflops'': 749.58
Problem: ic64, setup: 54.17 ms, time: 2.56 us, ``mflops'': 749.05
Problem: ic128, setup: 115.18 ms, time: 6.39 us, ``mflops'': 700.81
Problem: ic256, setup: 202.76 ms, time: 15.65 us, ``mflops'': 654.46
Problem: ic512, setup: 375.00 ms, time: 33.50 us, ``mflops'': 687.8
Problem: ic1024, setup: 780.86 ms, time: 74.86 us, ``mflops'': 683.91
Problem: ic2048, setup: 1.54 s, time: 166.89 us, ``mflops'': 674.93
Problem: ic4096, setup: 3.16 s, time: 367.16 us, ``mflops'': 669.36
Problem: ic8192, setup: 6.29 s, time: 883.12 us, ``mflops'': 602.95
Problem: ic16384, setup: 13.84 s, time: 2.22 ms, ``mflops'': 517.46
Problem: ic32768, setup: 28.46 s, time: 5.83 ms, ``mflops'': 421.62
Problem: ic65536, setup: 72.68 s, time: 14.62 ms, ``mflops'': 358.66
Problem: ic131072, setup: 50.86 s, time: 32.20 ms, ``mflops'': 346.03
Problem: ic262144, setup: 128.66 s, time: 83.92 ms, ``mflops'': 281.12
Problem: ic524288, setup: 85.41 s, time: 267.40 ms, ``mflops'': 186.27
Problem: ic1048576, setup: 16.77 s, time: 602.85 ms, ``mflops'': 173.94
Problem: ic2097152, setup: 150.07 s, time: 1.28 s, ``mflops'': 172.26
c o 1-D powers of two
Problem: oc2, setup: 611.00 us, time: 99.66 ns, ``mflops'': 100.35
Problem: oc4, setup: 794.00 us, time: 121.07 ns, ``mflops'': 330.39
Problem: oc8, setup: 671.00 us, time: 190.92 ns, ``mflops'': 628.54
Problem: oc16, setup: 702.00 us, time: 421.91 ns, ``mflops'': 758.46
Problem: oc32, setup: 8.09 ms, time: 1.06 us, ``mflops'': 753.5
Problem: oc64, setup: 25.73 ms, time: 2.65 us, ``mflops'': 725.89
Problem: oc128, setup: 54.44 ms, time: 6.17 us, ``mflops'': 726.22
Problem: oc256, setup: 102.66 ms, time: 13.62 us, ``mflops'': 751.88
Problem: oc512, setup: 192.14 ms, time: 30.40 us, ``mflops'': 757.93
Problem: oc1024, setup: 409.19 ms, time: 69.86 us, ``mflops'': 732.94
Problem: oc2048, setup: 879.71 ms, time: 156.88 us, ``mflops'': 718.02
Problem: oc4096, setup: 1.76 s, time: 350.94 us, ``mflops'': 700.3
Problem: oc8192, setup: 3.62 s, time: 824.00 us, ``mflops'': 646.21
Problem: oc16384, setup: 7.80 s, time: 2.38 ms, ``mflops'': 482.59
Problem: oc32768, setup: 16.62 s, time: 8.07 ms, ``mflops'': 304.46
Problem: oc65536, setup: 38.43 s, time: 14.62 ms, ``mflops'': 358.66
Problem: oc131072, setup: 84.51 s, time: 30.70 ms, ``mflops'': 362.89
Problem: oc262144, setup: 183.97 s, time: 67.50 ms, ``mflops'': 349.5
Problem: oc524288, setup: 44.74 s, time: 262.94 ms, ``mflops'': 189.42
Problem: oc1048576, setup: 77.25 s, time: 541.03 ms, ``mflops'': 193.81
Problem: oc2097152, setup: 73.18 s, time: 1.12 s, ``mflops'': 196.5
c i 1-D non-powers of two
Problem: ic6, setup: 1.59 ms, time: 176.01 ns, ``mflops'': 440.59
Problem: ic9, setup: 1.50 ms, time: 438.66 ns, ``mflops'': 325.19
Problem: ic12, setup: 1.68 ms, time: 303.15 ns, ``mflops'': 709.55
Problem: ic15, setup: 1.56 ms, time: 565.31 ns, ``mflops'': 518.33
Problem: ic18, setup: 29.97 ms, time: 1.95 us, ``mflops'': 192.62
Problem: ic24, setup: 39.28 ms, time: 1.94 us, ``mflops'': 284.03
Problem: ic36, setup: 57.34 ms, time: 2.73 us, ``mflops'': 340.33
Problem: ic80, setup: 129.06 ms, time: 5.29 us, ``mflops'': 478.03
Problem: ic108, setup: 124.73 ms, time: 8.85 us, ``mflops'': 412.11
Problem: ic210, setup: 126.34 ms, time: 17.49 us, ``mflops'': 463.01
Problem: ic504, setup: 459.27 ms, time: 44.70 us, ``mflops'': 506.07
Problem: ic1000, setup: 836.93 ms, time: 86.30 us, ``mflops'': 577.36
Problem: ic1960, setup: 1.17 s, time: 203.14 us, ``mflops'': 527.61
Problem: ic4725, setup: 2.44 s, time: 717.19 us, ``mflops'': 402.08
Problem: ic10368, setup: 15.99 s, time: 1.41 ms, ``mflops'': 491.28
Problem: ic27000, setup: 53.36 s, time: 5.63 ms, ``mflops'': 352.95
Problem: ic75600, setup: 70.76 s, time: 22.16 ms, ``mflops'': 276.49
Problem: ic165375, setup: 26.36 s, time: 69.40 ms, ``mflops'': 206.55
Problem: ic362880, setup: 298.08 s, time: 157.96 ms, ``mflops'': 212.14
Problem: ic1562500, setup: 40.25 s, time: 1.21 s, ``mflops'': 132.41
c o 1-D non-powers of two
Problem: oc6, setup: 641.00 us, time: 155.06 ns, ``mflops'': 500.12
Problem: oc9, setup: 549.00 us, time: 421.88 ns, ``mflops'': 338.13
Problem: oc12, setup: 702.00 us, time: 299.42 ns, ``mflops'': 718.37
Problem: oc15, setup: 611.00 us, time: 554.14 ns, ``mflops'': 528.78
Problem: oc18, setup: 11.08 ms, time: 962.95 ns, ``mflops'': 389.73
Problem: oc24, setup: 17.70 ms, time: 1.14 us, ``mflops'': 483.45
Problem: oc36, setup: 32.56 ms, time: 1.81 us, ``mflops'': 512.91
Problem: oc80, setup: 64.48 ms, time: 3.74 us, ``mflops'': 676.1
Problem: oc108, setup: 75.93 ms, time: 7.27 us, ``mflops'': 501.6
Problem: oc210, setup: 101.32 ms, time: 15.26 us, ``mflops'': 530.84
Problem: oc504, setup: 305.18 ms, time: 43.75 us, ``mflops'': 517.09
