c i 1-D powers of two
Problem: ic2, setup: 763.00 us, time: 101.04 ns, ``mflops'': 98.967
Problem: ic4, setup: 794.00 us, time: 122.47 ns, ``mflops'': 326.62
Problem: ic8, setup: 794.00 us, time: 218.86 ns, ``mflops'': 548.3
Problem: ic16, setup: 885.00 us, time: 396.73 ns, ``mflops'': 806.6
Problem: ic32, setup: 9.80 ms, time: 909.00 ns, ``mflops'': 880.09
Problem: ic64, setup: 17.55 ms, time: 2.26 us, ``mflops'': 847.72
Problem: ic128, setup: 31.98 ms, time: 4.95 us, ``mflops'': 905.55
Problem: ic256, setup: 47.82 ms, time: 18.89 us, ``mflops'': 541.96
Problem: ic512, setup: 71.32 ms, time: 39.93 us, ``mflops'': 576.96
Problem: ic1024, setup: 100.77 ms, time: 89.41 us, ``mflops'': 572.67
Problem: ic2048, setup: 135.44 ms, time: 189.80 us, ``mflops'': 593.48
Problem: ic4096, setup: 186.80 ms, time: 413.87 us, ``mflops'': 593.8
Problem: ic8192, setup: 241.12 ms, time: 892.69 us, ``mflops'': 596.49
Problem: ic16384, setup: 310.98 ms, time: 3.07 ms, ``mflops'': 373.94
Problem: ic32768, setup: 370.03 ms, time: 6.79 ms, ``mflops'': 361.92
Problem: ic65536, setup: 581.19 ms, time: 14.92 ms, ``mflops'': 351.33
Problem: ic131072, setup: 515.82 ms, time: 36.35 ms, ``mflops'': 306.52
Problem: ic262144, setup: 776.29 ms, time: 103.88 ms, ``mflops'': 227.11
Problem: ic524288, setup: 185.79 ms, time: 344.40 ms, ``mflops'': 144.62
Problem: ic1048576, setup: 206.03 ms, time: 665.44 ms, ``mflops'': 157.58
Problem: ic2097152, setup: 246.74 ms, time: 1.43 s, ``mflops'': 153.56
c o 1-D powers of two
Problem: oc2, setup: 213.00 us, time: 100.82 ns, ``mflops'': 99.184
Problem: oc4, setup: 244.00 us, time: 122.47 ns, ``mflops'': 326.62
Problem: oc8, setup: 397.00 us, time: 202.56 ns, ``mflops'': 592.42
