c i 1-D powers of two
Problem: ic2, setup: 1.56 ms, time: 99.65 ns, ``mflops'': 100.35
Problem: ic4, setup: 1.80 ms, time: 139.93 ns, ``mflops'': 285.86
Problem: ic8, setup: 1.68 ms, time: 222.60 ns, ``mflops'': 539.1
Problem: ic16, setup: 1.92 ms, time: 415.37 ns, ``mflops'': 770.39
Problem: ic32, setup: 28.14 ms, time: 909.00 ns, ``mflops'': 880.09
Problem: ic64, setup: 54.20 ms, time: 2.29 us, ``mflops'': 836.67
Problem: ic128, setup: 112.00 ms, time: 4.95 us, ``mflops'': 905.55
Problem: ic256, setup: 199.74 ms, time: 14.07 us, ``mflops'': 727.93
Problem: ic512, setup: 358.53 ms, time: 29.45 us, ``mflops'': 782.47
Problem: ic1024, setup: 747.91 ms, time: 65.80 us, ``mflops'': 778.06
Problem: ic2048, setup: 1.46 s, time: 143.54 us, ``mflops'': 784.73
Problem: ic4096, setup: 3.00 s, time: 324.25 us, ``mflops'': 757.93
Problem: ic8192, setup: 5.97 s, time: 776.31 us, ``mflops'': 685.91
Problem: ic16384, setup: 13.02 s, time: 2.10 ms, ``mflops'': 546.62
Problem: ic32768, setup: 27.58 s, time: 5.74 ms, ``mflops'': 428.38
Problem: ic65536, setup: 70.99 s, time: 14.53 ms, ``mflops'': 360.93
Problem: ic131072, setup: 50.86 s, time: 34.03 ms, ``mflops'': 327.42
Problem: ic262144, setup: 127.01 s, time: 79.41 ms, ``mflops'': 297.11
Problem: ic524288, setup: 83.32 s, time: 253.15 ms, ``mflops'': 196.75
Problem: ic1048576, setup: 17.15 s, time: 592.05 ms, ``mflops'': 177.11
Problem: ic2097152, setup: 150.38 s, time: 1.26 s, ``mflops'': 175.32
c o 1-D powers of two
Problem: oc2, setup: 610.00 us, time: 99.66 ns, ``mflops'': 100.35
Problem: oc4, setup: 641.00 us, time: 122.47 ns, ``mflops'': 326.62
Problem: oc8, setup: 671.00 us, time: 202.56 ns, ``mflops'': 592.42
Problem: oc16, setup: 702.00 us, time: 390.23 ns, ``mflops'': 820.03
Problem: oc32, setup: 7.66 ms, time: 892.21 ns, ``mflops'': 896.65
Problem: oc64, setup: 25.18 ms, time: 2.29 us, ``mflops'': 836.67
Problem: oc128, setup: 53.68 ms, time: 4.95 us, ``mflops'': 905.55
Problem: oc256, setup: 101.38 ms, time: 11.95 us, ``mflops'': 856.82
Problem: oc512, setup: 186.56 ms, time: 26.46 us, ``mflops'': 870.59
Problem: oc1024, setup: 388.04 ms, time: 60.80 us, ``mflops'': 842.15
Problem: oc2048, setup: 837.64 ms, time: 132.80 us, ``mflops'': 848.21
Problem: oc4096, setup: 1.67 s, time: 300.91 us, ``mflops'': 816.73
Problem: oc8192, setup: 3.45 s, time: 711.44 us, ``mflops'': 748.46
Problem: oc16384, setup: 7.45 s, time: 2.22 ms, ``mflops'': 517.46
Problem: oc32768, setup: 15.96 s, time: 7.39 ms, ``mflops'': 332.76
Problem: oc65536, setup: 36.65 s, time: 13.89 ms, ``mflops'': 377.57
Problem: oc131072, setup: 80.94 s, time: 29.11 ms, ``mflops'': 382.66
Problem: oc262144, setup: 176.69 s, time: 66.25 ms, ``mflops'': 356.09
Problem: oc524288, setup: 42.80 s, time: 254.67 ms, ``mflops'': 195.57
Problem: oc1048576, setup: 74.42 s, time: 527.91 ms, ``mflops'': 198.63
Problem: oc2097152, setup: 71.18 s, time: 1.08 s, ``mflops'': 204.08
c i 1-D non-powers of two
Problem: ic6, setup: 1.62 ms, time: 155.99 ns, ``mflops'': 497.14
Problem: ic9, setup: 1.59 ms, time: 376.25 ns, ``mflops'': 379.13
Problem: ic12, setup: 1.71 ms, time: 300.83 ns, ``mflops'': 715.02
Problem: ic15, setup: 1.53 ms, time: 471.25 ns, ``mflops'': 621.78
Problem: ic18, setup: 29.91 ms, time: 1.94 us, ``mflops'': 193.36
Problem: ic24, setup: 39.15 ms, time: 1.77 us, ``mflops'': 310.93
Problem: ic36, setup: 57.13 ms, time: 2.77 us, ``mflops'': 335.77
Problem: ic80, setup: 127.54 ms, time: 5.38 us, ``mflops'': 470.08
Problem: ic108, setup: 124.12 ms, time: 8.26 us, ``mflops'': 441.85
Problem: ic210, setup: 124.42 ms, time: 16.27 us, ``mflops'': 497.77
Problem: ic504, setup: 448.65 ms, time: 43.15 us, ``mflops'': 524.25
Problem: ic1000, setup: 787.74 ms, time: 76.18 us, ``mflops'': 654.13
Problem: ic1960, setup: 1.12 s, time: 196.47 us, ``mflops'': 545.53
Problem: ic4725, setup: 2.27 s, time: 635.19 us, ``mflops'': 453.99
Problem: ic10368, setup: 15.57 s, time: 1.44 ms, ``mflops'': 479.61
Problem: ic27000, setup: 49.65 s, time: 5.46 ms, ``mflops'': 363.77
Problem: ic75600, setup: 66.44 s, time: 21.36 ms, ``mflops'': 286.75
Problem: ic165375, setup: 24.35 s, time: 64.09 ms, ``mflops'': 223.66
Problem: ic362880, setup: 281.75 s, time: 149.69 ms, ``mflops'': 223.86
Problem: ic1562500, setup: 38.47 s, time: 1.14 s, ``mflops'': 140.9
c o 1-D non-powers of two
Problem: oc6, setup: 641.00 us, time: 153.67 ns, ``mflops'': 504.64
Problem: oc9, setup: 550.00 us, time: 360.44 ns, ``mflops'': 395.75
Problem: oc12, setup: 671.00 us, time: 286.85 ns, ``mflops'': 749.86
Problem: oc15, setup: 579.00 us, time: 452.61 ns, ``mflops'': 647.4
Problem: oc18, setup: 11.47 ms, time: 974.18 ns, ``mflops'': 385.24
Problem: oc24, setup: 18.04 ms, time: 1.09 us, ``mflops'': 503.2
Problem: oc36, setup: 32.62 ms, time: 1.79 us, ``mflops'': 520.44
Problem: oc80, setup: 64.64 ms, time: 3.57 us, ``mflops'': 708.57
Problem: oc108, setup: 74.95 ms, time: 6.66 us, ``mflops'': 547.6
Problem: oc210, setup: 100.41 ms, time: 14.19 us, ``mflops'': 571
Problem: oc504, setup: 301.34 ms, time: 42.20 us, ``mflops'': 536.09
Problem: oc1000, setup: 462.78 ms, time: 74.98 us, ``mflops'': 664.52
Problem: oc1960, setup: 699.60 ms, time: 192.64 us, ``mflops'': 556.37
Problem: oc4725, setup: 1.37 s, time: 618.00 us, ``mflops'': 466.62
Problem: oc10368, setup: 9.34 s, time: 1.32 ms, ``mflops'': 523.94
Problem: oc27000, setup: 31.90 s, time: 5.49 ms, ``mflops'': 361.79
Problem: oc75600, setup: 148.56 s, time: 22.37 ms, ``mflops'': 273.84
Problem: oc165375, setup: 70.14 s, time: 62.78 ms, ``mflops'': 228.34
Problem: oc362880, setup: 973.48 s, time: 128.36 ms, ``mflops'': 261.07
Problem: oc1562500, setup: 6.74 s, time: 1.06 s, ``mflops'': 151.3
c i 2-D powers of two
Problem: ic4x4, setup: 8.73 ms, time: 616.52 ns, ``mflops'': 519.05
Problem: ic8x4, setup: 7.45 ms, time: 1.13 us, ``mflops'': 709.92
Problem: ic4x8, setup: 10.10 ms, time: 1.24 us, ``mflops'': 646.82
Problem: ic8x8, setup: 9.80 ms, time: 2.25 us, ``mflops'': 854.72
Problem: ic16x16, setup: 19.17 ms, time: 10.16 us, ``mflops'': 1007.6
Problem: ic32x32, setup: 104.62 ms, time: 50.79 us, ``mflops'': 1008.2
Problem: ic64x64, setup: 264.19 ms, time: 276.56 us, ``mflops'': 888.62
Problem: ic16x512, setup: 462.04 ms, time: 633.25 us, ``mflops'': 840.87
Problem: ic128x64, setup: 301.12 ms, time: 578.91 us, ``mflops'': 919.8
Problem: ic128x128, setup: 493.29 ms, time: 1.50 ms, ``mflops'': 766.95
