c i 1-D powers of two
Problem: ic2, setup: 975.54 ms, time: 99.66 ns, ``mflops'': 100.35
Problem: ic4, setup: 1.07 s, time: 122.47 ns, ``mflops'': 326.62
Problem: ic8, setup: 960.89 ms, time: 218.86 ns, ``mflops'': 548.3
Problem: ic16, setup: 938.16 ms, time: 396.73 ns, ``mflops'': 806.6
Problem: ic32, setup: 25.98 s, time: 909.00 ns, ``mflops'': 880.09
Problem: ic64, setup: 44.20 s, time: 2.26 us, ``mflops'': 850.52
Problem: ic128, setup: 86.42 s, time: 4.95 us, ``mflops'': 905.55
Problem: ic256, setup: 123.73 s, time: 14.22 us, ``mflops'': 720.32
Problem: ic512, setup: 180.54 s, time: 29.38 us, ``mflops'': 784.08
Problem: ic1024, setup: 238.71 s, time: 65.68 us, ``mflops'': 779.49
Problem: ic2048, setup: 305.33 s, time: 142.82 us, ``mflops'': 788.68
Problem: ic4096, setup: 388.91 s, time: 324.25 us, ``mflops'': 757.93
Problem: ic8192, setup: 463.84 s, time: 772.50 us, ``mflops'': 689.29
Problem: ic16384, setup: 557.24 s, time: 2.30 ms, ``mflops'': 498.56
Problem: ic32768, setup: 645.59 s, time: 5.94 ms, ``mflops'': 414.05
Problem: ic65536, setup: 999.07 s, time: 15.08 ms, ``mflops'': 347.76
Problem: ic131072, setup: 853.51 s, time: 33.08 ms, ``mflops'': 336.78
Problem: ic262144, setup: 1167.45 s, time: 79.53 ms, ``mflops'': 296.65
Problem: ic524288, setup: 408.29 s, time: 251.29 ms, ``mflops'': 198.21
Problem: ic1048576, setup: 463.83 s, time: 576.98 ms, ``mflops'': 181.74
Problem: ic2097152, setup: 591.25 s, time: 1.23 s, ``mflops'': 178.57
c o 1-D powers of two
Problem: oc2, setup: 291.30 ms, time: 99.66 ns, ``mflops'': 100.35
Problem: oc4, setup: 336.89 ms, time: 122.47 ns, ``mflops'': 326.62
Problem: oc8, setup: 323.64 ms, time: 202.10 ns, ``mflops'': 593.76
Problem: oc16, setup: 295.02 ms, time: 389.31 ns, ``mflops'': 821.96
Problem: oc32, setup: 6.66 s, time: 892.21 ns, ``mflops'': 896.65
Problem: oc64, setup: 21.10 s, time: 2.22 us, ``mflops'': 863.31
Problem: oc128, setup: 39.49 s, time: 4.93 us, ``mflops'': 908.33
Problem: oc256, setup: 62.89 s, time: 11.89 us, ``mflops'': 861.11
Problem: oc512, setup: 89.84 s, time: 26.40 us, ``mflops'': 872.59
Problem: oc1024, setup: 120.28 s, time: 60.68 us, ``mflops'': 843.77
Problem: oc2048, setup: 154.41 s, time: 132.80 us, ``mflops'': 848.16
Problem: oc4096, setup: 187.87 s, time: 303.75 us, ``mflops'': 809.09
Problem: oc8192, setup: 227.19 s, time: 713.37 us, ``mflops'': 746.42
Problem: oc16384, setup: 264.73 s, time: 2.12 ms, ``mflops'': 541.72
Problem: oc32768, setup: 307.12 s, time: 6.71 ms, ``mflops'': 366.04
Problem: oc65536, setup: 553.18 s, time: 14.19 ms, ``mflops'': 369.45
Problem: oc131072, setup: 612.81 s, time: 29.57 ms, ``mflops'': 376.75
Problem: oc262144, setup: 799.04 s, time: 66.29 ms, ``mflops'': 355.93
Problem: oc524288, setup: 527.65 s, time: 256.05 ms, ``mflops'': 194.53
Problem: oc1048576, setup: 730.68 s, time: 522.44 ms, ``mflops'': 200.71
Problem: oc2097152, setup: 681.86 s, time: 1.08 s, ``mflops'': 203.92
c i 1-D non-powers of two
Problem: ic6, setup: 1.16 s, time: 173.69 ns, ``mflops'': 446.48
Problem: ic9, setup: 717.33 ms, time: 377.20 ns, ``mflops'': 378.18
Problem: ic12, setup: 1.20 s, time: 298.02 ns, ``mflops'': 721.76
Problem: ic15, setup: 846.57 ms, time: 470.31 ns, ``mflops'': 623.03
Problem: ic18, setup: 28.79 s, time: 1.93 us, ``mflops'': 194.48
Problem: ic24, setup: 38.06 s, time: 1.77 us, ``mflops'': 310.26
Problem: ic36, setup: 51.45 s, time: 2.90 us, ``mflops'': 321.09
Problem: ic80, setup: 106.14 s, time: 5.19 us, ``mflops'': 487.66
Problem: ic108, setup: 94.69 s, time: 8.52 us, ``mflops'': 427.95
Problem: ic210, setup: 76.12 s, time: 16.51 us, ``mflops'': 490.59
Problem: ic504, setup: 256.17 s, time: 43.27 us, ``mflops'': 522.79
Problem: ic1000, setup: 247.87 s, time: 76.41 us, ``mflops'': 652.09
Problem: ic1960, setup: 201.71 s, time: 195.52 us, ``mflops'': 548.19
Problem: ic4725, setup: 250.63 s, time: 633.25 us, ``mflops'': 455.38
Problem: ic10368, setup: 1605.96 s, time: 1.53 ms, ``mflops'': 450.95
Problem: ic27000, setup: 2109.76 s, time: 5.57 ms, ``mflops'': 356.82
Problem: ic75600, setup: 2774.22 s, time: 21.76 ms, ``mflops'': 281.53
Problem: ic165375, setup: 287.53 s, time: 65.28 ms, ``mflops'': 219.59
Problem: ic362880, setup: 4893.42 s, time: 148.19 ms, ``mflops'': 226.12
Problem: ic1562500, setup: 74.48 s, time: 1.14 s, ``mflops'': 141.2
c o 1-D non-powers of two
Problem: oc6, setup: 403.84 ms, time: 153.67 ns, ``mflops'': 504.64
Problem: oc9, setup: 199.95 ms, time: 360.44 ns, ``mflops'': 395.75
Problem: oc12, setup: 401.22 ms, time: 284.06 ns, ``mflops'': 757.23
Problem: oc15, setup: 224.34 ms, time: 452.61 ns, ``mflops'': 647.4
Problem: oc18, setup: 10.39 s, time: 976.01 ns, ``mflops'': 384.52
Problem: oc24, setup: 18.55 s, time: 1.06 us, ``mflops'': 518.22
Problem: oc36, setup: 29.86 s, time: 1.80 us, ``mflops'': 516.14
Problem: oc80, setup: 55.44 s, time: 3.53 us, ``mflops'': 716.06
Problem: oc108, setup: 60.04 s, time: 6.66 us, ``mflops'': 547.64
Problem: oc210, setup: 68.50 s, time: 14.22 us, ``mflops'': 569.78
Problem: oc504, setup: 176.84 s, time: 41.96 us, ``mflops'': 539.14
Problem: oc1000, setup: 150.44 s, time: 74.98 us, ``mflops'': 664.56
Problem: oc1960, setup: 156.32 s, time: 192.64 us, ``mflops'': 556.37
Problem: oc4725, setup: 162.12 s, time: 620.84 us, ``mflops'': 464.48
Problem: oc10368, setup: 758.64 s, time: 1.47 ms, ``mflops'': 470.83
Problem: oc27000, setup: 1086.55 s, time: 5.43 ms, ``mflops'': 365.85
Problem: oc75600, setup: 2193.49 s, time: 22.28 ms, ``mflops'': 274.98
Problem: oc165375, setup: 359.18 s, time: 62.59 ms, ``mflops'': 229.01
Problem: oc362880, setup: 3910.89 s, time: 129.03 ms, ``mflops'': 259.71
Problem: oc1562500, setup: 182.49 s, time: 1.07 s, ``mflops'': 150.25
c i 2-D powers of two
Problem: ic4x4, setup: 7.95 s, time: 659.36 ns, ``mflops'': 485.32
Problem: ic8x4, setup: 6.66 s, time: 1.13 us, ``mflops'': 709.92
Problem: ic4x8, setup: 9.30 s, time: 1.24 us, ``mflops'': 646.82
Problem: ic8x8, setup: 7.90 s, time: 2.23 us, ``mflops'': 860.43
Problem: ic16x16, setup: 10.39 s, time: 10.16 us, ``mflops'': 1007.7
Problem: ic32x32, setup: 65.02 s, time: 50.66 us, ``mflops'': 1010.6
Problem: ic64x64, setup: 95.82 s, time: 276.58 us, ``mflops'': 888.57
Problem: ic16x512, setup: 189.38 s, time: 631.31 us, ``mflops'': 843.45
Problem: ic128x64, setup: 132.55 s, time: 581.75 us, ``mflops'': 915.31
Problem: ic128x128, setup: 170.23 s, time: 1.42 ms, ``mflops'': 810.37
Problem: ic256x128, setup: 201.37 s, time: 4.42 ms, ``mflops'': 556.33
Problem: ic512x64, setup: 227.80 s, time: 4.93 ms, ``mflops'': 498.65
Problem: ic64x1024, setup: 295.25 s, time: 10.56 ms, ``mflops'': 496.53
Problem: ic256x256, setup: 232.75 s, time: 12.15 ms, ``mflops'': 431.65
Problem: ic512x512, setup: 333.50 s, time: 53.22 ms, ``mflops'': 443.29
Problem: ic1024x1024, setup: 449.97 s, time: 228.55 ms, ``mflops'': 458.8
Problem: ic2048x2048, setup: 579.26 s, time: 1.02 s, ``mflops'': 453.56
c o 2-D powers of two
Problem: oc4x4, setup: 7.22 s, time: 637.02 ns, ``mflops'': 502.34
Problem: oc8x4, setup: 5.17 s, time: 1.11 us, ``mflops'': 721.84
Problem: oc4x8, setup: 7.77 s, time: 1.24 us, ``mflops'': 646.82
Problem: oc8x8, setup: 7.27 s, time: 2.21 us, ``mflops'': 867.64
Problem: oc16x16, setup: 9.10 s, time: 10.16 us, ``mflops'': 1007.7
Problem: oc32x32, setup: 54.69 s, time: 50.66 us, ``mflops'': 1010.6
Problem: oc64x64, setup: 96.50 s, time: 274.66 us, ``mflops'': 894.79
Problem: oc16x512, setup: 98.30 s, time: 596.03 us, ``mflops'': 893.38
Problem: oc128x64, setup: 119.10 s, time: 580.78 us, ``mflops'': 916.83
Problem: oc128x128, setup: 168.03 s, time: 1.54 ms, ``mflops'': 744.18
Problem: oc256x128, setup: 174.90 s, time: 5.23 ms, ``mflops'': 469.55
Problem: oc512x64, setup: 213.21 s, time: 5.33 ms, ``mflops'': 461.48
Problem: oc64x1024, setup: 185.65 s, time: 11.14 ms, ``mflops'': 470.68
Problem: oc256x256, setup: 241.49 s, time: 12.48 ms, ``mflops'': 420.04
Problem: oc512x512, setup: 298.63 s, time: 54.26 ms, ``mflops'': 434.81
Problem: oc1024x1024, setup: 406.72 s, time: 236.24 ms, ``mflops'': 443.86
Problem: oc2048x2048, setup: 527.82 s, time: 1.04 s, ``mflops'': 444.11
c i 2-D non-powers of two
Problem: ic5x5, setup: 6.55 s, time: 1.30 us, ``mflops'': 445.21
Problem: ic6x6, setup: 8.48 s, time: 1.35 us, ``mflops'': 688.15
Problem: ic7x7, setup: 6.37 s, time: 2.89 us, ``mflops'': 475.84
Problem: ic9x9, setup: 9.21 s, time: 5.62 us, ``mflops'': 457.06
Problem: ic10x10, setup: 11.46 s, time: 4.16 us, ``mflops'': 799.03
Problem: ic11x11, setup: 13.11 s, time: 10.49 us, ``mflops'': 399.03
Problem: ic12x12, setup: 11.49 s, time: 5.30 us, ``mflops'': 973.17
Problem: ic13x13, setup: 13.43 s, time: 10.76 us, ``mflops'': 581.27
Problem: ic14x14, setup: 11.31 s, time: 12.22 us, ``mflops'': 610.73
Problem: ic15x15, setup: 9.61 s, time: 10.82 us, ``mflops'': 812.55
Problem: ic25x24, setup: 52.87 s, time: 64.97 us, ``mflops'': 426.15
Problem: ic48x48, setup: 139.29 s, time: 211.23 us, ``mflops'': 609.17
Problem: ic49x49, setup: 17.37 s, time: 327.09 us, ``mflops'': 412.14
Problem: ic60x60, setup: 155.82 s, time: 360.47 us, ``mflops'': 589.92
Problem: ic72x56, setup: 154.67 s, time: 444.41 us, ``mflops'': 543.34
Problem: ic75x75, setup: 71.12 s, time: 684.69 us, ``mflops'': 511.72
Problem: ic80x80, setup: 213.27 s, time: 635.12 us, ``mflops'': 637.05
Problem: ic84x84, setup: 113.42 s, time: 835.44 us, ``mflops'': 539.89
Problem: ic96x96, setup: 249.47 s, time: 852.62 us, ``mflops'': 711.77
Problem: ic100x100, setup: 170.14 s, time: 1.04 ms, ``mflops'': 639.14
Problem: ic105x105, setup: 51.08 s, time: 1.40 ms, ``mflops'': 527.29
Problem: ic112x112, setup: 136.22 s, time: 1.62 ms, ``mflops'': 527.96
Problem: ic120x120, setup: 309.04 s, time: 1.64 ms, ``mflops'': 604.94
Problem: ic144x144, setup: 347.34 s, time: 2.61 ms, ``mflops'': 569.8
Problem: ic180x180, setup: 395.19 s, time: 4.96 ms, ``mflops'': 489.46
Problem: ic240x240, setup: 509.72 s, time: 9.77 ms, ``mflops'': 466.35
Problem: ic360x360, setup: 649.33 s, time: 32.68 ms, ``mflops'': 336.72
Problem: ic1000x1000, setup: 459.14 s, time: 268.86 ms, ``mflops'': 370.66
Problem: ic1050x1050, setup: 344.13 s, time: 324.16 ms, ``mflops'': 341.34
Problem: ic1458x1458, setup: 243.42 s, time: 877.18 ms, ``mflops'': 254.7
Problem: ic1960x1960, setup: 379.47 s, time: 1.36 s, ``mflops'': 309.75
c o 2-D non-powers of two
Problem: oc5x5, setup: 5.90 s, time: 1.21 us, ``mflops'': 480.94
Problem: oc6x6, setup: 7.90 s, time: 1.31 us, ``mflops'': 709.68
Problem: oc7x7, setup: 5.70 s, time: 2.78 us, ``mflops'': 494.99
Problem: oc9x9, setup: 7.84 s, time: 5.32 us, ``mflops'': 482.7
Problem: oc10x10, setup: 9.85 s, time: 4.06 us, ``mflops'': 818.1
Problem: oc11x11, setup: 10.65 s, time: 10.49 us, ``mflops'': 398.99
Problem: oc12x12, setup: 10.19 s, time: 5.16 us, ``mflops'': 1001.3
Problem: oc13x13, setup: 10.93 s, time: 10.52 us, ``mflops'': 594.49
Problem: oc14x14, setup: 9.70 s, time: 12.19 us, ``mflops'': 612.25
Problem: oc15x15, setup: 7.95 s, time: 10.40 us, ``mflops'': 845.13
Problem: oc25x24, setup: 32.47 s, time: 63.06 us, ``mflops'': 439.03
Problem: oc48x48, setup: 150.29 s, time: 214.58 us, ``mflops'': 599.68
Problem: oc49x49, setup: 15.52 s, time: 326.16 us, ``mflops'': 413.33
Problem: oc60x60, setup: 189.42 s, time: 346.19 us, ``mflops'': 614.26
Problem: oc72x56, setup: 142.41 s, time: 436.78 us, ``mflops'': 552.82
Problem: oc75x75, setup: 66.66 s, time: 673.25 us, ``mflops'': 520.42
Problem: oc80x80, setup: 221.36 s, time: 620.84 us, ``mflops'': 651.7
Problem: oc84x84, setup: 130.94 s, time: 824.00 us, ``mflops'': 547.38
Problem: oc96x96, setup: 273.69 s, time: 871.69 us, ``mflops'': 696.2
Problem: oc100x100, setup: 187.04 s, time: 1.05 ms, ``mflops'': 632.18
Problem: oc105x105, setup: 62.21 s, time: 1.71 ms, ``mflops'': 434.1
Problem: oc112x112, setup: 141.46 s, time: 1.56 ms, ``mflops'': 545.94
Problem: oc120x120, setup: 382.64 s, time: 1.69 ms, ``mflops'': 587.26
Problem: oc144x144, setup: 392.09 s, time: 2.97 ms, ``mflops'': 500.97
Problem: oc180x180, setup: 457.19 s, time: 5.75 ms, ``mflops'': 421.97
Problem: oc240x240, setup: 620.80 s, time: 10.44 ms, ``mflops'': 436.37
Problem: oc360x360, setup: 630.49 s, time: 34.45 ms, ``mflops'': 319.41
Problem: oc1000x1000, setup: 428.22 s, time: 284.82 ms, ``mflops'': 349.89
Problem: oc1050x1050, setup: 363.10 s, time: 340.37 ms, ``mflops'': 325.09
Problem: oc1458x1458, setup: 212.75 s, time: 910.26 ms, ``mflops'': 245.44
Problem: oc1960x1960, setup: 376.34 s, time: 1.39 s, ``mflops'': 302.26
c i 3-D powers of two
Problem: ic4x4x4, setup: 16.16 s, time: 3.98 us, ``mflops'': 482.59
Problem: ic8x8x8, setup: 15.27 s, time: 26.94 us, ``mflops'': 855.19
Problem: ic4x8x16, setup: 20.40 s, time: 29.68 us, ``mflops'': 776.19
Problem: ic16x16x16, setup: 18.18 s, time: 248.42 us, ``mflops'': 989.28
Problem: ic32x32x32, setup: 90.23 s, time: 3.75 ms, ``mflops'': 654.71
Problem: ic64x64x64, setup: 131.59 s, time: 46.48 ms, ``mflops'': 507.62
Problem: ic256x64x32, setup: 240.68 s, time: 99.15 ms, ``mflops'': 502.33
Problem: ic16x1024x64, setup: 305.27 s, time: 230.84 ms, ``mflops'': 454.25
Problem: ic128x128x128, setup: 241.00 s, time: 443.30 ms, ``mflops'': 496.73
c o 3-D powers of two
Problem: oc4x4x4, setup: 15.54 s, time: 3.89 us, ``mflops'': 493.68
Problem: oc8x8x8, setup: 14.59 s, time: 26.94 us, ``mflops'': 855.19
Problem: oc4x8x16, setup: 19.38 s, time: 29.68 us, ``mflops'': 776.24
Problem: oc16x16x16, setup: 16.73 s, time: 247.47 us, ``mflops'': 993.1
Problem: oc32x32x32, setup: 80.03 s, time: 4.66 ms, ``mflops'': 527.21
Problem: oc64x64x64, setup: 131.97 s, time: 47.36 ms, ``mflops'': 498.12
Problem: oc256x64x32, setup: 222.71 s, time: 108.46 ms, ``mflops'': 459.22
Problem: oc16x1024x64, setup: 290.64 s, time: 227.18 ms, ``mflops'': 461.57
Problem: oc128x128x128, setup: 237.37 s, time: 459.57 ms, ``mflops'': 479.15
c i 3-D non-powers of two
Problem: ic5x5x5, setup: 13.32 s, time: 9.67 us, ``mflops'': 450.18
Problem: ic6x6x6, setup: 16.05 s, time: 11.98 us, ``mflops'': 699.08
Problem: ic7x7x7, setup: 12.67 s, time: 30.64 us, ``mflops'': 471.43
Problem: ic9x9x9, setup: 16.14 s, time: 73.20 us, ``mflops'': 473.57
Problem: ic10x10x10, setup: 19.46 s, time: 62.11 us, ``mflops'': 802.33
Problem: ic11x11x11, setup: 20.05 s, time: 173.56 us, ``mflops'': 397.94
Problem: ic12x12x12, setup: 20.13 s, time: 96.80 us, ``mflops'': 959.97
Problem: ic13x13x13, setup: 20.46 s, time: 207.89 us, ``mflops'': 586.6
Problem: ic14x14x14, setup: 19.11 s, time: 257.02 us, ``mflops'': 609.73
Problem: ic15x15x15, setup: 16.57 s, time: 241.28 us, ``mflops'': 819.73
Problem: ic24x25x28, setup: 114.50 s, time: 2.88 ms, ``mflops'': 408.82
Problem: ic48x48x48, setup: 191.05 s, time: 25.05 ms, ``mflops'': 369.78
Problem: ic49x49x49, setup: 37.03 s, time: 34.55 ms, ``mflops'': 286.82
Problem: ic60x60x60, setup: 219.12 s, time: 54.05 ms, ``mflops'': 354.11
Problem: ic72x60x56, setup: 303.19 s, time: 118.72 ms, ``mflops'': 182.22
Problem: ic75x75x75, setup: 100.53 s, time: 125.03 ms, ``mflops'': 315.25
Problem: ic80x80x80, setup: 298.42 s, time: 127.87 ms, ``mflops'': 379.7
Problem: ic84x84x84, setup: 162.33 s, time: 170.11 ms, ``mflops'': 334.09
Problem: ic96x96x96, setup: 350.54 s, time: 211.18 ms, ``mflops'': 413.81
Problem: ic100x100x100, setup: 233.87 s, time: 257.76 ms, ``mflops'': 386.64
Problem: ic105x105x105, setup: 77.63 s, time: 342.87 ms, ``mflops'': 340.04
Problem: ic112x112x112, setup: 195.97 s, time: 419.04 ms, ``mflops'': 342.35
Problem: ic120x120x120, setup: 440.80 s, time: 461.95 ms, ``mflops'': 387.55
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 12.53 s, time: 9.18 us, ``mflops'': 474.29
Problem: oc6x6x6, setup: 15.49 s, time: 11.74 us, ``mflops'': 713.26
Problem: oc7x7x7, setup: 11.98 s, time: 29.74 us, ``mflops'': 485.63
Problem: oc9x9x9, setup: 14.75 s, time: 72.00 us, ``mflops'': 481.41
Problem: oc10x10x10, setup: 17.86 s, time: 61.27 us, ``mflops'': 813.22
Problem: oc11x11x11, setup: 17.56 s, time: 173.58 us, ``mflops'': 397.9
Problem: oc12x12x12, setup: 18.84 s, time: 94.89 us, ``mflops'': 979.26
Problem: oc13x13x13, setup: 17.77 s, time: 205.98 us, ``mflops'': 592.03
Problem: oc14x14x14, setup: 17.51 s, time: 256.53 us, ``mflops'': 610.88
Problem: oc15x15x15, setup: 14.89 s, time: 235.08 us, ``mflops'': 841.36
Problem: oc24x25x28, setup: 103.52 s, time: 3.74 ms, ``mflops'': 315.38
Problem: oc48x48x48, setup: 202.67 s, time: 26.92 ms, ``mflops'': 344.21
Problem: oc49x49x49, setup: 35.42 s, time: 36.65 ms, ``mflops'': 270.34
Problem: oc60x60x60, setup: 252.52 s, time: 56.88 ms, ``mflops'': 336.44
Problem: oc72x60x56, setup: 284.15 s, time: 66.22 ms, ``mflops'': 326.66
Problem: oc75x75x75, setup: 92.49 s, time: 131.96 ms, ``mflops'': 298.7
Problem: oc80x80x80, setup: 307.54 s, time: 140.08 ms, ``mflops'': 346.61
Problem: oc84x84x84, setup: 179.18 s, time: 179.60 ms, ``mflops'': 316.44
Problem: oc96x96x96, setup: 374.35 s, time: 224.03 ms, ``mflops'': 390.08
Problem: oc100x100x100, setup: 250.58 s, time: 270.76 ms, ``mflops'': 368.07
Problem: oc105x105x105, setup: 89.02 s, time: 362.55 ms, ``mflops'': 321.58
Problem: oc112x112x112, setup: 200.81 s, time: 415.59 ms, ``mflops'': 345.19
Problem: oc120x120x120, setup: 513.78 s, time: 487.49 ms, ``mflops'': 367.24
r i 1-D powers of two
Problem: ir2, setup: 779.76 ms, time: 176.50 ns, ``mflops'': 28.329
Problem: ir4, setup: 797.71 ms, time: 243.07 ns, ``mflops'': 82.28
Problem: ir8, setup: 813.73 ms, time: 532.71 ns, ``mflops'': 112.63
Problem: ir16, setup: 842.30 ms, time: 1.12 us, ``mflops'': 142.45
Problem: ir32, setup: 26.24 s, time: 1.46 us, ``mflops'': 273.23
Problem: ir64, setup: 65.15 s, time: 2.85 us, ``mflops'': 337.29
Problem: ir128, setup: 116.02 s, time: 5.71 us, ``mflops'': 392.5
Problem: ir256, setup: 219.33 s, time: 10.79 us, ``mflops'': 474.6
Problem: ir512, setup: 320.31 s, time: 21.28 us, ``mflops'': 541.37
Problem: ir1024, setup: 457.21 s, time: 42.68 us, ``mflops'': 599.87
Problem: ir2048, setup: 597.09 s, time: 89.16 us, ``mflops'': 631.64
Problem: ir4096, setup: 733.26 s, time: 191.69 us, ``mflops'': 641.04
Problem: ir8192, setup: 896.21 s, time: 407.22 us, ``mflops'': 653.8
