c i 1-D powers of two
Problem: ic2, setup: 641.00 us, time: 72.31 ns, ``mflops'': 138.29
Problem: ic4, setup: 641.00 us, time: 100.37 ns, ``mflops'': 398.52
Problem: ic8, setup: 641.00 us, time: 171.40 ns, ``mflops'': 700.11
Problem: ic16, setup: 641.00 us, time: 353.06 ns, ``mflops'': 906.37
Problem: ic32, setup: 11.93 ms, time: 912.90 ns, ``mflops'': 876.33
Problem: ic64, setup: 22.89 ms, time: 2.21 us, ``mflops'': 870.38
Problem: ic128, setup: 48.32 ms, time: 5.38 us, ``mflops'': 832.66
Problem: ic256, setup: 85.47 ms, time: 13.24 us, ``mflops'': 773.69
Problem: ic512, setup: 155.31 ms, time: 29.27 us, ``mflops'': 787.11
Problem: ic1024, setup: 333.73 ms, time: 69.99 us, ``mflops'': 731.51
Problem: ic2048, setup: 688.10 ms, time: 160.25 us, ``mflops'': 702.9
Problem: ic4096, setup: 1.52 s, time: 370.12 us, ``mflops'': 663.99
Problem: ic8192, setup: 3.16 s, time: 843.25 us, ``mflops'': 631.46
Problem: ic16384, setup: 6.66 s, time: 1.90 ms, ``mflops'': 603.58
Problem: ic32768, setup: 13.15 s, time: 4.34 ms, ``mflops'': 565.97
Problem: ic65536, setup: 35.76 s, time: 9.83 ms, ``mflops'': 533.41
Problem: ic131072, setup: 27.43 s, time: 30.22 ms, ``mflops'': 368.67
Problem: ic262144, setup: 89.23 s, time: 75.91 ms, ``mflops'': 310.78
Problem: ic524288, setup: 71.89 s, time: 198.11 ms, ``mflops'': 251.42
Problem: ic1048576, setup: 23.98 s, time: 432.81 ms, ``mflops'': 242.27
Problem: ic2097152, setup: 228.97 s, time: 929.15 ms, ``mflops'': 236.99
c o 1-D powers of two
Problem: oc2, setup: 214.00 us, time: 72.31 ns, ``mflops'': 138.29
Problem: oc4, setup: 183.00 us, time: 100.37 ns, ``mflops'': 398.52
Problem: oc8, setup: 153.00 us, time: 171.40 ns, ``mflops'': 700.11
Problem: oc16, setup: 183.00 us, time: 353.06 ns, ``mflops'': 906.37
Problem: oc32, setup: 2.84 ms, time: 912.90 ns, ``mflops'': 876.33
Problem: oc64, setup: 10.19 ms, time: 2.21 us, ``mflops'': 870.43
Problem: oc128, setup: 22.47 ms, time: 5.19 us, ``mflops'': 863.78
Problem: oc256, setup: 42.86 ms, time: 11.57 us, ``mflops'': 885.32
Problem: oc512, setup: 80.37 ms, time: 27.54 us, ``mflops'': 836.51
Problem: oc1024, setup: 172.41 ms, time: 65.94 us, ``mflops'': 776.49
Problem: oc2048, setup: 391.18 ms, time: 153.58 us, ``mflops'': 733.44
Problem: oc4096, setup: 851.31 ms, time: 359.62 us, ``mflops'': 683.38
Problem: oc8192, setup: 1.81 s, time: 814.62 us, ``mflops'': 653.65
Problem: oc16384, setup: 3.72 s, time: 1.82 ms, ``mflops'': 630.15
Problem: oc32768, setup: 7.31 s, time: 4.13 ms, ``mflops'': 595.28
Problem: oc65536, setup: 19.59 s, time: 11.69 ms, ``mflops'': 448.45
Problem: oc131072, setup: 59.13 s, time: 35.23 ms, ``mflops'': 316.28
