c i 1-D powers of two
Problem: ic2, setup: 1.02 s, time: 71.38 ns, ``mflops'': 140.1
Problem: ic4, setup: 994.92 ms, time: 104.80 ns, ``mflops'': 381.69
Problem: ic8, setup: 944.89 ms, time: 163.48 ns, ``mflops'': 734.02
Problem: ic16, setup: 1.10 s, time: 312.99 ns, ``mflops'': 1022.4
Problem: ic32, setup: 26.80 s, time: 817.93 ns, ``mflops'': 978.08
Problem: ic64, setup: 46.02 s, time: 1.94 us, ``mflops'': 988.97
Problem: ic128, setup: 87.81 s, time: 4.32 us, ``mflops'': 1036.5
Problem: ic256, setup: 126.12 s, time: 11.66 us, ``mflops'': 878.57
Problem: ic512, setup: 184.28 s, time: 26.05 us, ``mflops'': 884.36
Problem: ic1024, setup: 247.43 s, time: 62.83 us, ``mflops'': 814.92
Problem: ic2048, setup: 314.12 s, time: 141.13 us, ``mflops'': 798.11
Problem: ic4096, setup: 401.98 s, time: 332.88 us, ``mflops'': 738.3
Problem: ic8192, setup: 477.56 s, time: 747.88 us, ``mflops'': 711.99
Problem: ic16384, setup: 578.87 s, time: 1.68 ms, ``mflops'': 681.55
Problem: ic32768, setup: 666.90 s, time: 3.66 ms, ``mflops'': 672.35
Problem: ic65536, setup: 1020.11 s, time: 10.96 ms, ``mflops'': 478.41
Problem: ic131072, setup: 877.04 s, time: 29.70 ms, ``mflops'': 375.12
Problem: ic262144, setup: 1187.74 s, time: 73.96 ms, ``mflops'': 318.98
Problem: ic524288, setup: 403.58 s, time: 180.35 ms, ``mflops'': 276.17
Problem: ic1048576, setup: 469.83 s, time: 421.50 ms, ``mflops'': 248.77
Problem: ic2097152, setup: 605.70 s, time: 895.07 ms, ``mflops'': 246.01
c o 1-D powers of two
Problem: oc2, setup: 352.20 ms, time: 71.38 ns, ``mflops'': 140.09
Problem: oc4, setup: 327.82 ms, time: 104.80 ns, ``mflops'': 381.69
Problem: oc8, setup: 270.30 ms, time: 163.02 ns, ``mflops'': 736.08
Problem: oc16, setup: 371.47 ms, time: 313.02 ns, ``mflops'': 1022.3
Problem: oc32, setup: 7.24 s, time: 819.76 ns, ``mflops'': 975.89
Problem: oc64, setup: 22.47 s, time: 1.95 us, ``mflops'': 987.11
Problem: oc128, setup: 40.83 s, time: 4.32 us, ``mflops'': 1036.6
Problem: oc256, setup: 64.62 s, time: 10.02 us, ``mflops'': 1022.4
